Wavelength, R00, R01, R02, R03, R04, R05, R06, R07, R08, G00, G01, G02, G03, G04, G05, G06, G07, G08, B00, B01, B02, B03, B04, B05, B06, B07, B08, 
380, 0, 2.219E-07, 2.11735E-06, 2.03495E-06, 5.0405E-06, 4.6219E-06, 4.8605E-06, 6.3005E-06, 3.992E-06, 0, 4.7715E-07, 1.14265E-06, 1.79915E-06, 2.692E-06, 1.78185E-06, 3.1685E-06, 4.1695E-06, 5.9065E-06, 0, 8.059E-06, 1.3055E-05, 2.379E-05, 3.257E-05, 4.332E-05, 4.6855E-05, 6.176E-05, 6.8485E-05, 
384, 0, 6.3045E-07, 7.6805E-07, 1.68295E-06, 6.715E-06, 1.9891E-06, 2.751E-06, 4.4275E-06, 6.6885E-06, 0, 1.10445E-06, 9.001E-07, 1.833E-06, 1.7986E-06, 1.641E-06, 3.7535E-06, 3.027E-06, 3.7995E-06, 0, 9.637E-06, 1.801E-05, 3.169E-05, 4.3115E-05, 5.676E-05, 6.927E-05, 8.116E-05, 9.7665E-05, 
388, 0, 5.7525E-07, 7.144999E-07, 5.588E-07, 2.176E-06, 5.171E-07, 7.38E-07, 1.28945E-06, 2.876E-06, 0, 3.722E-07, 4.6615E-07, 1.0425E-06, 1.326E-06, 4.227E-06, 3.6695E-06, 3.1645E-06, 2.298E-06, 0, 1.2165E-05, 2.5095E-05, 4.1245E-05, 5.814E-05, 7.552E-05, 9.305E-05, 0.00010765, 0.00013, 
392, 0, 1.3225E-06, 9.688E-07, 8.728E-07, 1.5025E-06, 1.9026E-06, 5.701E-07, 7.7385E-07, 7.872E-06, 0, 6.8695E-07, 6.38E-07, 1.229E-06, 1.6895E-06, 3.572E-06, 1.767E-06, 3.171E-06, 2.979E-06, 0, 1.666E-05, 3.554E-05, 5.691E-05, 7.9865E-05, 0.00010145, 0.0001264, 0.00014945, 0.00017885, 
396, 0, 5.851E-07, 3.593E-07, 7.5735E-07, 3.6775E-06, 1.533E-06, 1.0543E-06, 3.5856E-06, 3.697E-06, 0, 1.52825E-06, 1.4755E-06, 7.613E-07, 2.2925E-06, 1.541E-06, 1.47965E-06, 3.297E-06, 3.987E-06, 0, 2.1715E-05, 4.7555E-05, 7.571E-05, 0.0001041, 0.00013135, 0.00016425, 0.0001934, 0.00022845, 
400, 0, 7.3265E-07, 1.517E-07, 3.183E-06, 3.848E-06, 1.2034E-06, 1.1275E-06, 2.4065E-06, 6.544E-06, 0, 4.8325E-07, 1.18815E-06, 1.8655E-06, 1.6498E-06, 1.419E-06, 3.408E-06, 3.466E-06, 3.517E-06, 0, 2.9575E-05, 6.355E-05, 9.966E-05, 0.0001382, 0.00017555, 0.0002149, 0.00025535, 0.0002972, 
404, 0, 4.2685E-07, 4.9095E-07, 2.30525E-06, 2.851E-06, 1.8835E-06, 2.742E-06, 2.661E-06, 5.7705E-06, 0, 5.878E-07, 1.589E-06, 2.3085E-06, 1.8865E-06, 2.854E-06, 4.331E-06, 4.04E-06, 4.042E-06, 0, 4.022E-05, 8.475001E-05, 0.0001327, 0.00018235, 0.000233, 0.00028065, 0.00033315, 0.00038565, 
408, 0, 4.808E-07, 5.9465E-07, 1.5985E-06, 3.032E-06, 4.0485E-06, 3.516E-06, 3.997E-06, 5.7655E-06, 0, 1.13605E-06, 1.612E-06, 2.4535E-06, 2.893E-06, 4.109E-06, 4.876E-06, 4.7645E-06, 6.2355E-06, 0, 5.451E-05, 0.0001153, 0.0001804, 0.0002442, 0.00031035, 0.0003743, 0.00044105, 0.00050875, 
412, 0, 6.789E-07, 9.637999E-07, 2.4E-06, 3.814E-06, 3.3205E-06, 4.0825E-06, 6.814E-06, 8.076E-06, 0, 5.21E-07, 1.7715E-06, 3.079E-06, 3.5595E-06, 4.957E-06, 5.632E-06, 6.4915E-06, 7.7465E-06, 0, 7.0505E-05, 0.00014865, 0.0002318, 0.0003123, 0.0003939, 0.0004753, 0.0005592, 0.00064235, 
416, 0, 7.492999E-07, 2.2185E-06, 3.044E-06, 5.4025E-06, 3.3885E-06, 5.5055E-06, 6.648E-06, 8.4965E-06, 0, 6.886E-07, 1.8755E-06, 3.797E-06, 4.659E-06, 6.34E-06, 6.6965E-06, 7.7175E-06, 9.276E-06, 0, 8.6915E-05, 0.00018295, 0.00028475, 0.00038235, 0.00048085, 0.0005791, 0.0006786, 0.00078125, 
420, 0, 1.26205E-06, 2.826E-06, 5.1085E-06, 8.905999E-06, 6.1785E-06, 6.8685E-06, 8.8155E-06, 9.3855E-06, 0, 7.311E-07, 2.44E-06, 4.2845E-06, 5.542E-06, 7.807999E-06, 7.6955E-06, 1.064E-05, 1.1655E-05, 0, 0.0001064, 0.00022485, 0.00034775, 0.0004654, 0.0005845, 0.0007031, 0.00082185, 0.00094215, 
424, 0, 1.2746E-06, 3.703E-06, 3.952E-06, 7.928E-06, 7.2725E-06, 1.182E-05, 1.465E-05, 1.3695E-05, 0, 1.4564E-06, 3.276E-06, 4.7685E-06, 7.227E-06, 9.1425E-06, 1.0235E-05, 1.309E-05, 1.4395E-05, 0, 0.0001306, 0.00027295, 0.00041985, 0.00056245, 0.0007057, 0.00084645, 0.0009897, 0.001133, 
428, 0, 1.3935E-06, 3.7775E-06, 4.1475E-06, 8.933999E-06, 8.6205E-06, 1.253E-05, 1.3465E-05, 1.7515E-05, 0, 1.516E-06, 3.801E-06, 6.917E-06, 8.022E-06, 1.04365E-05, 1.253E-05, 1.5285E-05, 1.7095E-05, 0, 0.00015065, 0.000314, 0.0004834, 0.00064585, 0.00080845, 0.0009692, 0.0011315, 0.0012955, 
432, 0, 2.0905E-06, 4.3895E-06, 5.874E-06, 8.6385E-06, 1.139E-05, 1.3115E-05, 1.359E-05, 1.6635E-05, 0, 1.8345E-06, 4.4045E-06, 7.508E-06, 9.5955E-06, 1.198E-05, 1.433E-05, 1.6905E-05, 1.984E-05, 0, 0.00016945, 0.0003517, 0.00054185, 0.00072385, 0.00090485, 0.0010845, 0.001264, 0.0014465, 
436, 0, 2.379E-06, 4.581E-06, 5.7745E-06, 8.281E-06, 1.082E-05, 1.327E-05, 1.454E-05, 1.7485E-05, 0, 2.5755E-06, 5.0465E-06, 7.6815E-06, 1.087E-05, 1.346E-05, 1.5355E-05, 1.8485E-05, 2.3385E-05, 0, 0.0001825, 0.00037895, 0.0005822, 0.00077805, 0.0009723, 0.001163, 0.001355, 0.001551, 
440, 0, 2.1495E-06, 4.408E-06, 6.081E-06, 8.224E-06, 1.0375E-05, 1.2305E-05, 1.485E-05, 1.8375E-05, 0, 2.9955E-06, 5.2685E-06, 7.9E-06, 1.2625E-05, 1.5195E-05, 1.7515E-05, 2.017E-05, 2.5185E-05, 0, 0.00018995, 0.00039505, 0.00060625, 0.00080895, 0.0010105, 0.0012085, 0.0014065, 0.0016115, 
444, 0, 2.229E-06, 4.828E-06, 6.772E-06, 8.872E-06, 1.1015E-05, 1.47E-05, 1.6205E-05, 1.951E-05, 0, 3.038E-06, 6.0445E-06, 9.167E-06, 1.372E-05, 1.7575E-05, 2.1245E-05, 2.391E-05, 2.787E-05, 0, 0.00019715, 0.0004093, 0.0006285, 0.00083705, 0.0010455, 0.00125, 0.001456, 0.001666, 
448, 0, 2.356E-06, 4.8225E-06, 7.5395E-06, 8.813E-06, 1.068E-05, 1.369E-05, 1.6565E-05, 1.9525E-05, 0, 2.7055E-06, 7.01E-06, 1.1325E-05, 1.6E-05, 1.993E-05, 2.487E-05, 2.899E-05, 3.1215E-05, 0, 0.0001999, 0.00041405, 0.00063565, 0.0008473, 0.0010565, 0.001264, 0.001471, 0.0016835, 
452, 0, 2.3555E-06, 4.959E-06, 7.635E-06, 1.01705E-05, 1.232E-05, 1.5165E-05, 1.6795E-05, 1.946E-05, 0, 3.6005E-06, 8.793E-06, 1.3715E-05, 1.798E-05, 2.3435E-05, 2.9355E-05, 3.3305E-05, 3.867E-05, 0, 0.00019685, 0.00040905, 0.0006270499, 0.00083575, 0.0010415, 0.001245, 0.0014485, 0.0016565, 
456, 0, 2.6565E-06, 5.034E-06, 6.557E-06, 1.01455E-05, 1.179E-05, 1.356E-05, 1.7545E-05, 1.858E-05, 0, 4.726E-06, 1.045E-05, 1.6495E-05, 2.244E-05, 2.842E-05, 3.535E-05, 4.1345E-05, 4.864E-05, 0, 0.0001913, 0.0003974, 0.0006089, 0.0008109, 0.0010115, 0.001208, 0.0014045, 0.0016055, 
460, 0, 2.924E-06, 5.4635E-06, 7.9905E-06, 1.085E-05, 1.466E-05, 1.5785E-05, 1.9545E-05, 1.969E-05, 0, 5.8855E-06, 1.321E-05, 2.096E-05, 2.8475E-05, 3.5545E-05, 4.4045E-05, 5.156E-05, 6.0525E-05, 0, 0.000181, 0.00037415, 0.0005731001, 0.0007629, 0.00095155, 0.001136, 0.001321, 0.0015095, 
464, 0, 3.6E-06, 7.622E-06, 1.179E-05, 1.543E-05, 2.027E-05, 2.2155E-05, 2.7975E-05, 2.9235E-05, 0, 7.51E-06, 1.7355E-05, 2.693E-05, 3.706E-05, 4.6325E-05, 5.6835E-05, 6.675E-05, 7.826E-05, 0, 0.0001673, 0.00034495, 0.0005280999, 0.0007031, 0.00087705, 0.0010455, 0.001216, 0.00139, 
468, 0, 3.686E-06, 8.259E-06, 1.2935E-05, 1.725E-05, 2.1165E-05, 2.3985E-05, 2.964E-05, 3.349E-05, 0, 1.00565E-05, 2.302E-05, 3.5915E-05, 4.9245E-05, 6.181499E-05, 7.4945E-05, 8.802E-05, 0.0001022, 0, 0.0001522, 0.0003141, 0.0004805, 0.00064, 0.00079855, 0.00095185, 0.001107, 0.001264, 
472, 0, 3.2905E-06, 6.976E-06, 1.05465E-05, 1.366E-05, 1.6785E-05, 2.185E-05, 2.535E-05, 2.9E-05, 0, 1.365E-05, 3.1555E-05, 4.898E-05, 6.6115E-05, 8.292E-05, 0.0001012, 0.0001181, 0.0001356, 0, 0.00013675, 0.0002826, 0.00043145, 0.00057615, 0.000718, 0.0008564, 0.0009959, 0.001136, 
476, 0, 2.9035E-06, 5.6165E-06, 8.737499E-06, 1.0458E-05, 1.34E-05, 1.647E-05, 1.923E-05, 2.4465E-05, 0, 1.879E-05, 4.319E-05, 6.7685E-05, 9.133499E-05, 0.0001148, 0.00013935, 0.0001624, 0.0001865, 0, 0.00011835, 0.00024525, 0.00037525, 0.00049905, 0.000622, 0.00074205, 0.00086425, 0.0009840501, 
480, 0, 2.558E-06, 5.067E-06, 7.3355E-06, 9.145E-06, 1.2135E-05, 1.3885E-05, 1.562E-05, 2.0355E-05, 0, 2.5495E-05, 5.7235E-05, 9.0095E-05, 0.00012205, 0.00015235, 0.00018485, 0.0002164, 0.0002485, 0, 0.0001034, 0.00021395, 0.0003283, 0.00043545, 0.00054255, 0.000647, 0.0007536, 0.00085835, 
484, 0, 3.2865E-06, 6.855E-06, 1.00165E-05, 1.2435E-05, 1.554E-05, 1.8185E-05, 2.186E-05, 2.433E-05, 0, 3.3765E-05, 7.4885E-05, 0.00011725, 0.0001596, 0.0002003, 0.0002425, 0.0002837, 0.0003257, 0, 8.914999E-05, 0.0001839, 0.0002821, 0.0003752, 0.0004674, 0.0005568, 0.0006483, 0.0007394, 
488, 0, 4.3385E-06, 8.597E-06, 1.3035E-05, 1.7045E-05, 2.19E-05, 2.376E-05, 2.9165E-05, 3.4075E-05, 0, 4.22E-05, 9.564499E-05, 0.0001486, 0.00020265, 0.0002539, 0.00030765, 0.00035955, 0.00041265, 0, 7.524E-05, 0.0001552, 0.00023765, 0.00031615, 0.00039465, 0.00046995, 0.00054575, 0.00062375, 
492, 0, 5.5325E-06, 1.0455E-05, 1.6645E-05, 2.2605E-05, 2.7605E-05, 3.156E-05, 3.784E-05, 4.2865E-05, 0, 5.177E-05, 0.00011815, 0.00018355, 0.00024995, 0.0003133, 0.00037885, 0.00044315, 0.00050835, 0, 6.286E-05, 0.0001299, 0.00019855, 0.0002637, 0.00032905, 0.00039225, 0.00045565, 0.00052085, 
496, 0, 5.7035E-06, 1.0345E-05, 1.653E-05, 2.217E-05, 2.687E-05, 3.1465E-05, 3.687E-05, 4.3555E-05, 0, 6.2605E-05, 0.00014235, 0.00022145, 0.00030075, 0.0003773, 0.0004558, 0.0005338, 0.0006133, 0, 5.245E-05, 0.0001078, 0.0001651, 0.00021955, 0.00027365, 0.000326, 0.00038, 0.00043345, 
500, 0, 3.5435E-06, 6.482E-06, 1.0515E-05, 1.3405E-05, 1.5915E-05, 2.123E-05, 2.3305E-05, 2.9415E-05, 0, 7.4305E-05, 0.0001679, 0.00026175, 0.00035555, 0.0004463, 0.0005384, 0.00063155, 0.0007251, 0, 4.215E-05, 8.7055E-05, 0.0001323, 0.000177, 0.0002208, 0.00026295, 0.0003064, 0.00034815, 
504, 0, 3.121E-06, 5.7895E-06, 9.5995E-06, 1.3045E-05, 1.5585E-05, 1.9085E-05, 2.338E-05, 2.412E-05, 0, 8.5795E-05, 0.00019385, 0.000302, 0.00041015, 0.0005148, 0.00062035, 0.00072855, 0.00083535, 0, 3.4815E-05, 7.2695E-05, 0.0001097, 0.00014745, 0.00018405, 0.0002194, 0.0002551, 0.00029015, 
508, 0, 5.318E-06, 1.116E-05, 1.709E-05, 2.3255E-05, 2.959E-05, 3.539E-05, 4.113E-05, 4.545E-05, 0, 9.656E-05, 0.0002183, 0.0003401, 0.00046215, 0.0005796, 0.00069815, 0.0008201, 0.0009389, 0, 2.8945E-05, 6.0305E-05, 9.159499E-05, 0.00012235, 0.00015315, 0.00018235, 0.00021195, 0.00024165, 
512, 0, 7.2055E-06, 1.549E-05, 2.324E-05, 3.128E-05, 3.9755E-05, 4.7045E-05, 5.4E-05, 6.3685E-05, 0, 0.00010555, 0.00023935, 0.0003729, 0.0005062, 0.00063475, 0.0007647, 0.00089835, 0.001028, 0, 2.4005E-05, 4.912E-05, 7.542E-05, 0.0001006, 0.0001254, 0.0001494, 0.00017475, 0.00019855, 
516, 0, 5.4365E-06, 1.168E-05, 1.7315E-05, 2.4045E-05, 2.8355E-05, 3.3905E-05, 3.886E-05, 4.7435E-05, 0, 0.00011385, 0.00025725, 0.0004011, 0.00054425, 0.00068225, 0.00082235, 0.00096485, 0.0011045, 0, 1.975E-05, 4.0145E-05, 6.196E-05, 8.2475E-05, 0.000103, 0.0001236, 0.000144, 0.00016355, 
520, 0, 3.4295E-06, 7.4805E-06, 1.0485E-05, 1.497E-05, 1.7295E-05, 2.176E-05, 2.3905E-05, 2.919E-05, 0, 0.00012015, 0.0002713, 0.00042225, 0.0005725, 0.00071885, 0.00086595, 0.0010145, 0.0011625, 0, 1.5975E-05, 3.2835E-05, 5.0615E-05, 6.7985E-05, 8.481499E-05, 0.00010125, 0.000118, 0.00013455, 
524, 0, 2.787E-06, 6.178E-06, 9.6035E-06, 1.3055E-05, 1.486E-05, 1.9795E-05, 2.1915E-05, 2.5885E-05, 0, 0.0001222, 0.0002753, 0.000429, 0.00058135, 0.00072935, 0.0008788, 0.001031, 0.0011785, 0, 1.2575E-05, 2.643E-05, 4.0735E-05, 5.416E-05, 6.763E-05, 8.0815E-05, 9.4925E-05, 0.00010775, 
528, 0, 3.6625E-06, 7.5995E-06, 1.2225E-05, 1.6225E-05, 1.91E-05, 2.427E-05, 2.769E-05, 3.3245E-05, 0, 0.0001223, 0.0002763, 0.0004305, 0.00058345, 0.0007319, 0.00088215, 0.0010335, 0.001182, 0, 1.071E-05, 2.2005E-05, 3.357E-05, 4.5225E-05, 5.5935E-05, 6.6745E-05, 7.887E-05, 8.916E-05, 
532, 0, 8.4205E-06, 1.738E-05, 2.6655E-05, 3.6295E-05, 4.4205E-05, 5.399E-05, 6.1905E-05, 7.222E-05, 0, 0.0001212, 0.00027375, 0.0004267, 0.0005781, 0.00072505, 0.0008732, 0.001023, 0.0011705, 0, 8.945E-06, 1.8455E-05, 2.8025E-05, 3.79E-05, 4.7E-05, 5.5755E-05, 6.582E-05, 7.457E-05, 
536, 0, 1.74E-05, 3.5575E-05, 5.352E-05, 7.2925E-05, 8.943E-05, 0.00010865, 0.0001266, 0.00014335, 0, 0.00011945, 0.0002687, 0.00041915, 0.0005679, 0.00071185, 0.0008571, 0.001004, 0.001148, 0, 7.9295E-06, 1.5985E-05, 2.392E-05, 3.25E-05, 4.0155E-05, 4.8195E-05, 5.648E-05, 6.427499E-05, 
540, 0, 1.718E-05, 3.4325E-05, 5.195E-05, 7.0105E-05, 8.683E-05, 0.0001052, 0.00012405, 0.0001388, 0, 0.000118, 0.00026405, 0.0004116, 0.00055745, 0.00069845, 0.0008404, 0.000984, 0.0011265, 0, 7.419E-06, 1.377E-05, 2.078E-05, 2.8115E-05, 3.5175E-05, 4.1975E-05, 4.879E-05, 5.5995E-05, 
544, 0, 9.3445E-06, 1.8625E-05, 2.832E-05, 3.8445E-05, 4.5995E-05, 5.761E-05, 6.562E-05, 7.523E-05, 0, 0.00011285, 0.00025385, 0.0003951, 0.0005351, 0.00067065, 0.0008075, 0.0009444, 0.0010815, 0, 6.256E-06, 1.159E-05, 1.7705E-05, 2.339E-05, 2.9935E-05, 3.4525E-05, 4.0315E-05, 4.705E-05, 
548, 0, 6.132E-06, 1.227E-05, 1.876E-05, 2.4845E-05, 3.0135E-05, 3.597E-05, 4.227E-05, 5.0375E-05, 0, 0.0001069, 0.00024135, 0.00037535, 0.00050835, 0.0006368, 0.00076695, 0.00089645, 0.001026, 0, 4.8755E-06, 9.854E-06, 1.487E-05, 1.9405E-05, 2.445E-05, 2.893E-05, 3.392E-05, 3.906E-05, 
552, 0, 7.558E-06, 1.633E-05, 2.3715E-05, 3.1745E-05, 3.9765E-05, 4.6145E-05, 5.611E-05, 6.441E-05, 0, 0.00010094, 0.00022715, 0.00035305, 0.00047865, 0.0005991, 0.00072215, 0.00084365, 0.00096555, 0, 4.3135E-06, 8.4055E-06, 1.29E-05, 1.688E-05, 2.067E-05, 2.5525E-05, 2.9695E-05, 3.356E-05, 
556, 0, 7.531E-06, 1.586E-05, 2.366E-05, 3.167E-05, 4.007E-05, 4.797E-05, 5.5735E-05, 6.5565E-05, 0, 9.371E-05, 0.00021075, 0.00032735, 0.00044405, 0.00055585, 0.0006694, 0.00078225, 0.0008969, 0, 3.756E-06, 7.103E-06, 1.09E-05, 1.4425E-05, 1.8425E-05, 2.195E-05, 2.534E-05, 2.9315E-05, 
560, 0, 5.4245E-06, 1.12E-05, 1.7115E-05, 2.3015E-05, 2.8145E-05, 3.3795E-05, 3.8505E-05, 4.537E-05, 0, 8.541E-05, 0.0001919, 0.0002983, 0.00040465, 0.0005066, 0.0006097, 0.0007125, 0.00081685, 0, 3.2645E-06, 6.2195E-06, 9.247E-06, 1.2825E-05, 1.5655E-05, 1.8615E-05, 2.2035E-05, 2.5365E-05, 
564, 0, 4.471E-06, 8.688E-06, 1.3625E-05, 1.8445E-05, 2.1565E-05, 2.656E-05, 3.119E-05, 3.48E-05, 0, 7.692999E-05, 0.0001724, 0.00026815, 0.00036315, 0.0004546, 0.0005476, 0.00063915, 0.000732, 0, 2.672E-06, 5.141E-06, 7.884E-06, 1.0755E-05, 1.308E-05, 1.5355E-05, 1.896E-05, 2.1605E-05, 
