Wavelength, Red Slope, Red Intercept, Green Slope, Green Intercept, Blue Slope, Blue Intercept
380, 5.552959E-06, -2.127904E-07, 3.359106E-06, -1.646808E-07, 6.983538E-05, -3.776964E-06
384, 3.838047E-06, -5.365132E-08, 1.843273E-06, 3.060245E-07, 9.508368E-05, -4.728226E-06
388, 1.149286E-06, 2.906959E-07, 2.090894E-06, 2.945085E-07, 0.0001248313, -5.087873E-06
392, 2.184988E-06, 8.025117E-07, 2.04398E-06, 3.297378E-07, 0.0001699093, -5.97132E-06
396, 1.992887E-06, 4.77312E-07, 2.511553E-06, 1.653792E-07, 0.00021988, -7.553877E-06
400, 2.14506E-06, 2.917421E-07, 4.489987E-06, -2.256654E-07, 0.0002876247, -8.22013E-06
404, 3.391588E-06, 7.103938E-08, 5.500027E-06, -2.891193E-07, 0.0003735026, -8.413539E-06
408, 6.276802E-06, -2.84773E-07, 7.770146E-06, -5.892618E-07, 0.0004941853, -9.051553E-06
412, 7.128374E-06, -2.341314E-07, 8.585269E-06, -2.95579E-07, 0.0006249326, -9.523501E-06
416, 7.205971E-06, 9.744826E-08, 9.114866E-06, -4.043295E-08, 0.0007576778, -8.916133E-06
420, 8.522432E-06, -1.60212E-08, 1.10332E-05, 4.317735E-08, 0.0009162133, -8.973351E-06
424, 1.07248E-05, -2.373372E-08, 1.38414E-05, -1.621984E-07, 0.001102087, -8.487725E-06
428, 1.311167E-05, 5.344418E-08, 1.640914E-05, -2.751794E-07, 0.001259947, -8.34564E-06
432, 1.640687E-05, -1.037124E-07, 1.880714E-05, -3.192908E-07, 0.0014065, -7.683295E-06
436, 1.778414E-05, -2.469014E-07, 2.11554E-05, -1.958661E-07, 0.001507567, -6.966933E-06
440, 1.783087E-05, -2.870465E-07, 2.37792E-05, -2.831575E-07, 0.001565927, -6.468967E-06
444, 1.766227E-05, -1.931903E-07, 2.744067E-05, -5.353377E-07, 0.001618773, -5.575595E-06
448, 1.656121E-05, -1.343687E-08, 3.117174E-05, -4.16092E-07, 0.001635527, -5.05225E-06
452, 1.82604E-05, -6.470054E-08, 3.7412E-05, -6.048358E-07, 0.001610427, -4.224363E-06
456, 1.785513E-05, 8.143434E-08, 4.647387E-05, -9.797714E-07, 0.001561513, -3.445486E-06
460, 2.2093E-05, -2.379993E-07, 5.848858E-05, -1.237233E-06, 0.001468467, -2.87249E-06
464, 3.062493E-05, -4.911344E-07, 7.502828E-05, -1.279586E-06, 0.001351733, -2.311193E-06
468, 3.24318E-05, -3.964014E-07, 9.982294E-05, -1.770808E-06, 0.001230533, -2.250017E-06
472, 2.802867E-05, -5.537222E-07, 0.0001334513, -2.53399E-06, 0.001106167, -1.577777E-06
476, 2.12058E-05, -3.178866E-08, 0.0001829367, -3.024434E-06, 0.0009596333, -1.388893E-06
480, 2.0188E-05, -5.618358E-07, 0.0002430952, -3.91373E-06, 0.0008366898, -1.075445E-06
484, 2.577941E-05, -5.905358E-07, 0.000319158, -5.225142E-06, 0.0007201667, -8.61095E-07
